"timestamp","heartrate"
1477507570000,71
1477507575000,70
1477507585000,70
1477507595000,71
1477507600000,72
1477507605000,74
1477507615000,76
1477507620000,73
1477507630000,72
1477507645000,72
1477507650000,72
1477507655000,73
1477507665000,72
1477507670000,71
1477507675000,73
1477507680000,74
1477507685000,72
1477507690000,72
1477507705000,73
1477507710000,72
1477507725000,71
1477507730000,69
1477507740000,70
1477507745000,71
1477507750000,71
1477507760000,68
1477507770000,64
1477507780000,65
1477507795000,65
1477507800000,62
1477507810000,57
1477507820000,58
1477507830000,60
1477507845000,60
1477507850000,62
1477507860000,63
1477507870000,64
1477507880000,63
1477507890000,66
1477507905000,66
1477507910000,65
1477507925000,65
1477507930000,64
1477507945000,65
1477507950000,67
1477507955000,70
1477507960000,71
1477507975000,70
1477507980000,69
1477507990000,70
1477508000000,69
1477508005000,67
1477508010000,67
1477508020000,66
1477508035000,66
1477508040000,63
1477508055000,63
1477508070000,61
1477508080000,59
1477508095000,59
1477508110000,59
1477508115000,60
1477508120000,64
1477508125000,65
1477508135000,65
1477508150000,65
1477508160000,66
1477508175000,66
1477508180000,67
1477508190000,68
1477508195000,69
1477508200000,65
1477508205000,65
1477508215000,66
1477508220000,65
1477508225000,64
1477508230000,63
1477508245000,63
1477508250000,63
1477508255000,64
1477508265000,63
1477508280000,63
1477508290000,64
1477508305000,64
1477508320000,64
1477508325000,65
1477508340000,65
1477508355000,65
1477508370000,65
1477508375000,64
1477508390000,63
1477508400000,63
1477508410000,64
1477508420000,63
1477508430000,66
1477508440000,65
1477508450000,66
1477508455000,66
1477508460000,64
1477508465000,61
1477508470000,60
1477508475000,62
1477508480000,63
1477508490000,64
1477508495000,65
1477508500000,64
1477508505000,62
1477508510000,61
1477508520000,60
1477508535000,58
1477508540000,59
1477508550000,60
1477508560000,61
1477508565000,60
1477508580000,61
1477508590000,60
1477508600000,62
1477508605000,63
1477508610000,64
1477508615000,66
1477508620000,67
1477508635000,67
1477508650000,67
1477508665000,66
1477508680000,67
1477508685000,68
1477508690000,69
1477508705000,69
1477508720000,69
1477508730000,68
1477508735000,70
1477508740000,71
1477508745000,71
1477508750000,72
1477508760000,74
1477508775000,74
1477508780000,75
